date,high,low,open,close,volume,quoteVolume,weightedAverage
1566309900,10642.86106876,10642.86106875,10642.86106876,10642.86106876,15481.81835659,1.45466696,10642.86106875
1566310200,10670.51679701,10667.68753968,10667.68753968,10670.41679699,9143.43641389,0.8569361,10669.91624451
1566310500,10667.25292507,10659.30000002,10667.25292507,10662.82772978,256.42371416,0.02405411,10660.28691853
1566310800,10666.55574029,10658.27448725,10666.55574029,10661.39308216,16517.95978487,1.54935612,10661.17697
1566311100,10658.27448725,10596.2679068,10658.27448725,10607.61383804,36863.68875161,3.47071638,10621.34865414
1566311400,10632.22701709,10608.46498841,10609.25899875,10624.0363759,4442.24813812,0.41809372,10625.00565214
1566311700,10627.24397694,10621.99730561,10627.24397694,10625,1497.50684464,0.14091305,10627.16934052
1566312000,10625.03000003,10589.8586787,10625.03000003,10589.8586787,58773.55022912,5.54099404,10607.04086754
1566312300,10606.90999975,10585.86824346,10585.86824346,10606.90999975,13889.37738966,1.31122238,10592.69396367
1566312600,10619.4524477,10609.23999997,10609.23999997,10619.4524477,17902.57378144,1.68691187,10612.63134122
1566312900,10619.45244769,10611.78999995,10619.45244768,10619.43244766,40628.05082094,3.82583902,10619.38325385
1566313200,10609.13999999,10573.81439996,10609.13999999,10584.69994,88651.50019332,8.3781857,10581.22884448
1566313500,10649.57042005,10612.58945504,10612.58945504,10632.01728802,14189.54878945,1.33427414,10634.65772442
1566313800,10660,10635.74478034,10641.63176109,10660,50231.68540594,4.71220352,10659.91424027
1566314100,10660.46889525,10648.45912301,10660,10648.45912301,11043.08244518,1.03594355,10659.92683209
1566314400,10670,10648.55912306,10648.55912306,10670,140.041543,0.01314442,10654.06788636
1566314700,10700,10670.7630451,10670.7630451,10700,30652.27545266,2.8660391,10694.99556117
1566315000,10700.00000001,10667.36545035,10700.00000001,10667.36545035,3552.17390977,0.33232947,10688.71174673
1566315300,10708.57575412,10681.50999072,10681.50999072,10708.57575412,4274.66211974,0.39981839,10691.50951197
1566315600,10734.02,10708.57575412,10708.57575412,10734.02,3480.56063781,0.32457703,10723.37323998
1566315900,10725.76861771,10721,10724.52930004,10721.00000001,13053.40551724,1.21734427,10722.85452762
1566316200,10721,10712.76734003,10721,10720,30587.45944296,2.85428559,10716.32759879
1566316500,10737.67433622,10714.97395002,10714.97395002,10737.67433622,7048.01147727,0.65725208,10723.45252566
1566316800,10744.83000723,10725,10737.06475395,10725.15954912,13964.71618158,1.30174569,10727.68382401
1566317100,10725,10714.82001003,10725,10714.82001003,9445.20683228,0.88067317,10724.98533398
1566317400,10733.35999997,10715.96079798,10726.58866657,10715.96079798,12355.33829922,1.15150852,10729.69768319
1566317700,10770,10731.74449433,10731.74449433,10770,13649.10956509,1.26837771,10761.07649754
1566318000,10770,10752.6562226,10769.68741136,10770,9370.20650319,0.87072931,10761.33121462
1566318300,10779.46723749,10758.04641747,10758.04641747,10779.34824435,60955.20472142,5.65862955,10772.07903129
1566318600,10794.99999999,10772.2500069,10784,10782.28784464,2434.70219196,0.22567372,10788.5942234
1566318900,10782.76237504,10751.99141755,10782.28784463,10762.57372977,19088.51607818,1.77368926,10762.0407411
1566319200,10760.13419997,10743.1611533,10749,10756.18369999,4945.22625275,0.46016722,10746.58523645
1566319500,10745,10733.49765218,10744.24015988,10745,2944.23120263,0.27424457,10735.78668352
1566319800,10742.16979998,10730.32266248,10736.72701075,10738.86376881,5895.2751644,0.54884336,10741.27081432
1566320100,10748.8205515,10743.90081711,10748.8205515,10743.90081711,813.04588922,0.0756426,10748.5185494
1566320400,10765.621238,10741.52009498,10741.52009498,10765.621238,14737.14674447,1.37130629,10746.79439009
1566320700,10770.81282113,10765.621238,10770.81282113,10765.621238,5055.38710279,0.46956286,10766.15621344
1566321000,10771.88433175,10746.85196075,10746.85196075,10771.08433164,22798.85189079,2.11856813,10761.44381101
1566321300,10770.28433127,10761.8469154,10770.28433127,10761.8469154,919.79472958,0.0854121,10768.90428387
1566321600,10755.56999979,10742.72010999,10751.71309998,10755.56999979,1095.70124378,0.10198585,10743.65947616
1566321900,10754.76999963,10746.35811168,10751.71309998,10754.76999963,168.22205542,0.01565302,10746.93927586
1566322200,10758.19999986,10745,10758.19999986,10745,1630.82421821,0.15177503,10745.0100205
1566322500,10745.01187963,10745,10745.00000001,10745,400.72725887,0.0372943,10745.00014406
1566322800,10745,10737.31274332,10745,10737.31274332,1180.10097995,0.10986884,10740.99790222
1566323100,10749.8,10737.31274332,10737.31274332,10748.44248482,708.17757533,0.06588205,10749.1733384
1566323400,10749.8,10749.59999999,10749.59999999,10749.8,12.84704326,0.0011951,10749.76425738
1566323700,10749.82000001,10749.6,10749.8,10749.8,261.94699284,0.02436758,10749.81565022
1566324000,10752.37294206,10749.8,10749.8,10752.37294206,2091.67573118,0.19454113,10751.84322813
1566324300,10752.59989985,10742.33179468,10752.59989985,10747.30171968,10458.26106882,0.97271421,10751.62772509
1566324600,10741.4999999,10741.4999999,10741.4999999,10741.4999999,658.69509666,0.06132245,10741.4999999
1566324900,10738.69979996,10727.38999992,10738.69979996,10727.38999992,940.01043259,0.08757757,10733.46100596
1566325200,10736.13999995,10727.39000007,10727.6,10736.13999995,4128.24638447,0.38469883,10731.11239894
1566325500,10739.19989979,10732.31625,10735.35939999,10739.19989979,4761.05945579,0.443588,10733.06639448
1566325800,10734.0992999,10718.66384363,10732.52422288,10729.59879934,2070.52259839,0.193014,10727.31821728
1566326100,10725.99849993,10712.18045843,10718.90866124,10712.18045843,2724.85506069,0.25425853,10716.86783013
1566326400,10716.71198124,10715.99470406,10715.99470406,10716.71198124,4859.88297097,0.45349031,10716.61921724
1566326700,10739.993941,10720.14011768,10720.14011768,10739.993941,1703.41477843,0.15878416,10727.86339921
1566327000,10748.89989998,10739.79394095,10739.79394095,10748.79989998,2337.36515099,0.21756915,10743.09087938
1566327300,10749.47755219,10748.9999,10748.99999999,10748.9999,1760.53713964,0.16378422,10749.12552411
1566327600,10753.8898999,10742,10753.88989989,10746.88899993,4849.20556545,0.45092903,10753.81100536
1566327900,10747.89765053,10745.85979999,10747.89765053,10745.85979999,3357.1843415,0.3123737,10747.33353512
1566328200,10751.11,10748.19199254,10748.73999991,10751.11,7270.50639396,0.67638682,10749.03617129
1566328500,10751.12999999,10751.11,10751.11,10751.12999999,5543.02943456,0.51557654,10751.12811488
1566328800,10751.13,10751.12999999,10751.12999999,10751.13,141.72730878,0.01318255,10751.12999999
1566329100,10751.13,10746.78475098,10751.12999999,10746.78475098,13421.60495673,1.24847286,10750.41787991
1566329400,10735.94888106,10728.53314088,10733.52037539,10735.94888106,567.3364581,0.05286369,10732.06312502
1566329700,10727.04539595,10726.41628932,10727.04539595,10726.41628932,1534.83819613,0.14308118,10727.044578
1566330000,10730.13648785,10725.2,10730.13648785,10725.20232166,119.00692235,0.01109476,10726.40799436
1566330300,10738.25380433,10725.39617839,10725.39617839,10738.25380433,47.51043068,0.00442773,10730.20050657
1566330600,10739.37688852,10739.37688852,10739.37688852,10739.37688852,2051.85213888,0.19105877,10739.37688852
1566330900,10738.62596555,10738.62596555,10738.62596555,10738.62596555,9.97339147,0.00092874,10738.62596555
1566331200,10735.52632915,10729.90123807,10729.90123807,10735.52632915,7150.64229288,0.66608775,10735.28569303
1566331500,10737.84960171,10722.79701053,10737.84960171,10722.79701053,26311.34039196,2.45135662,10733.37929589
1566331800,10729.38999992,10717.93817956,10721.60033003,10722.89402745,303.96094715,0.02835048,10721.54500208
1566332100,10714,10674.08759201,10714,10674.08759201,30173.97329582,2.82178425,10693.22479059
